origem,Campeonato,Temporada,Rodada,Data,Hora,time_casa,time_visitante,id,StatusPartida,RodadaMarcada,placar_casa,placar_visitante,Times_Partidas,DataHora,date,Total de finalizações__home_team,Total de finalizações__away_team,Finalizações no alvo__home_team,Finalizações no alvo__away_team,Chances claras__home_team,Chances claras__away_team,Escanteios__home_team,Escanteios__away_team,Cartões amarelos__home_team,Cartões amarelos__away_team,Impedimentos__home_team,Impedimentos__away_team,Faltas__home_team,Faltas__away_team,Cartões vermelhos__home_team,Cartões vermelhos__away_team
Chile,Liga de Primera,2025,RODADA 19,10/08/2025,17:00,Universidad de Chile,Unión Española,Universidad_de_Chile_vs_Union_Espanola_10/08/2025,Partida não Iniciada,,,,Universidad de Chile x Unión Española,10/08/2025 17:00:00,,,,,,,,,,,,,,,,,
América do sul,Libertadores,2025,RODADA 5,14/05/2025,23:00,Universitario (Per),Barcelona (Ecu),Universitario_Per_vs_Barcelona_Ecu_14/05/2025,Partida Encerrada,,1.0,0.0,Universitario (Per) x Barcelona (Ecu),14/05/2025 23:00:00,14/05/2025,18,14,4,5,1,2,9,3,3,1,1,1,11,4,,
América do sul,Libertadores,2025,RODADA 4,08/05/2025,23:00,Universitario (Per),Ind. del Valle (Ecu),Universitario_Per_vs_Ind_del_Valle_Ecu_08/05/2025,Partida Encerrada,,1.0,1.0,Universitario (Per) x Ind. del Valle (Ecu),08/05/2025 23:00:00,08/05/2025,13,10,6,3,2,2,6,2,,,5,1,16,5,,
América do sul,Libertadores,2025,RODADA 1,02/04/2025,21:30,Universitario (Per),River Plate (Arg),Universitario_Per_vs_River_Plate_Arg_02/04/2025,Partida Encerrada,,0.0,1.0,Universitario (Per) x River Plate (Arg),02/04/2025 21:30:00,02/04/2025,6,10,2,4,1,3,4,3,6,4,5,0,14,17,,
Países baixos,Eredivisie,2024/2025,RODADA 31,20/04/2025,07:15,Utrecht,Ajax,Utrecht_vs_Ajax_20/04/2025,Partida Encerrada,,4.0,0.0,Utrecht x Ajax,20/04/2025 07:15:00,20/04/2025,13,7,5,3,1,2,1,11,,,1,2,7,11,,
Países baixos,Eredivisie,2024/2025,RODADA 33,14/05/2025,15:00,Utrecht,Sparta Rotterdam,Utrecht_vs_Sparta_Rotterdam_14/05/2025,Partida Encerrada,,1.0,1.0,Utrecht x Sparta Rotterdam,14/05/2025 15:00:00,14/05/2025,32,9,9,4,2,3,11,0,,,0,2,11,9,,
Espanha,LaLiga,2024/2025,RODADA 37,18/05/2025,14:00,Valencia,Ath. Bilbao,Valencia_vs_Ath_Bilbao_18/05/2025,Partida Encerrada,,0.0,1.0,Valencia x Ath. Bilbao,18/05/2025 14:00:00,18/05/2025,6,10,2,4,0,1,5,3,3,1,1,5,10,16,,
Espanha,LaLiga,2024/2025,RODADA 25,22/02/2025,14:30,Valencia,Atl. Madrid,Valencia_vs_Atl_Madrid_22/02/2025,Partida Encerrada,,0.0,3.0,Valencia x Atl. Madrid,22/02/2025 14:30:00,22/02/2025,18,11,2,3,2,4,7,0,1,3,0,2,18,16,,
Espanha,LaLiga,2024/2025,RODADA 22,02/02/2025,12:15,Valencia,Celta de Vigo,Valencia_vs_Celta_de_Vigo_02/02/2025,Partida Encerrada,,2.0,1.0,Valencia x Celta de Vigo,02/02/2025 12:15:00,02/02/2025,8,3,5,2,3,1,5,2,1,2,2,2,9,17,,
Espanha,LaLiga,2024/2025,RODADA 33,22/04/2025,14:00,Valencia,Espanyol,Valencia_vs_Espanyol_22/04/2025,Partida Encerrada,,1.0,1.0,Valencia x Espanyol,22/04/2025 14:00:00,22/04/2025,16,8,7,3,1,0,6,4,2,1,1,1,7,7,,
Espanha,LaLiga,2024/2025,RODADA 35,10/05/2025,09:00,Valencia,Getafe,Valencia_vs_Getafe_10/05/2025,Partida Encerrada,,3.0,0.0,Valencia x Getafe,10/05/2025 09:00:00,10/05/2025,10,10,6,3,6,0,2,6,3,5,0,5,17,20,,
Espanha,LaLiga,2024/2025,RODADA 23,09/02/2025,12:15,Valencia,Leganés,Valencia_vs_Leganes_09/02/2025,Partida Encerrada,,2.0,0.0,Valencia x Leganés,09/02/2025 12:15:00,09/02/2025,18,12,4,4,2,0,9,3,1,1,1,2,14,9,,
Espanha,LaLiga,2024/2025,RODADA 29,30/03/2025,13:30,Valencia,Mallorca,Valencia_vs_Mallorca_30/03/2025,Partida Encerrada,,1.0,0.0,Valencia x Mallorca,30/03/2025 13:30:00,30/03/2025,8,8,2,2,1,2,4,5,5,5,2,1,16,15,,
Espanha,LaLiga,2024/2025,RODADA 31,11/04/2025,16:00,Valencia,Sevilla,Valencia_vs_Sevilla_11/04/2025,Partida Encerrada,,1.0,0.0,Valencia x Sevilla,11/04/2025 16:00:00,11/04/2025,8,12,6,5,3,2,3,3,,,2,3,10,18,,
Espanha,LaLiga,2024/2025,RODADA 27,08/03/2025,14:30,Valencia,Valladolid,Valencia_vs_Valladolid_08/03/2025,Partida Encerrada,,2.0,1.0,Valencia x Valladolid,08/03/2025 14:30:00,08/03/2025,17,11,4,4,5,1,5,4,1,3,2,0,11,10,,
Noruega,Eliteserien,2025,RODADA 5,03/05/2025,13:00,Vålerenga,Brann,Valerenga_vs_Brann_03/05/2025,Partida Encerrada,,2.0,4.0,Vålerenga x Brann,03/05/2025 13:00:00,03/05/2025,21,11,5,4,2,2,4,6,2,3,0,0,14,12,,
Noruega,Eliteserien,2025,RODADA 20,31/08/2025,12:00,Vålerenga,Bryne,Valerenga_vs_Bryne_31/08/2025,Partida não Iniciada,,,,Vålerenga x Bryne,31/08/2025 12:00:00,,,,,,,,,,,,,,,,,
Noruega,Eliteserien,2025,RODADA 12,05/07/2025,13:00,Vålerenga,Fredrikstad,Valerenga_vs_Fredrikstad_05/07/2025,Partida não Iniciada,,,,Vålerenga x Fredrikstad,05/07/2025 13:00:00,,,,,,,,,,,,,,,,,
Noruega,Eliteserien,2025,RODADA 7,16/05/2025,15:00,Vålerenga,HamKam,Valerenga_vs_HamKam_16/05/2025,Partida Encerrada,,1.0,1.0,Vålerenga x HamKam,16/05/2025 15:00:00,16/05/2025,23,8,7,3,1,1,3,0,3,3,1,0,15,13,,
Noruega,Eliteserien,2025,RODADA 14,20/07/2025,09:30,Vålerenga,Haugesund,Valerenga_vs_Haugesund_20/07/2025,Partida não Iniciada,,,,Vålerenga x Haugesund,20/07/2025 09:30:00,,,,,,,,,,,,,,,,,
