Campeonato,Confronto,Periodo,DataHora,Gols Mandante (média),Gols Sofridos Mandante (média),Gols Visitante (média),Gols Sofridos Visitante (média),Gols Esperados Mandante,Gols Esperados Visitante,Prob Vitória Mandante (%),Prob Empate (%),Prob Vitória Visitante (%),Prob Ambos Marcam (BTTS) (%),Prob +1.5 Gols (%),Prob +2.5 Gols (%),Prob +3.5 Gols (%)
Bundesliga,Monchengladbach x Wolfsburg,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Augsburg x Union Berlin,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Heidenheim x Bremen,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,St. Pauli x Bochum,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Mainz x Leverkusen,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Hoffenheim x Bayern,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Freiburg x Frankfurt,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Dortmund x Kiel,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,RB Leipzig x Stuttgart,Últimos 30 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Championship,Sheffield Utd x Bristol City,Últimos 30 dias,2025-05-12 16:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa da Alemanha,Bielefeld x Stuttgart,Últimos 30 dias,2025-05-24 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Vasco x Operário,Últimos 30 dias,2025-05-20 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Athletico-PR x Brusque,Últimos 30 dias,2025-05-20 19:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Náutico x São Paulo,Últimos 30 dias,2025-05-20 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
